year,number_trucks,hours,cost,description,animal_group,property_category,special_service_type_category,borough
2009,1,1,260,KITTEN WITH HEAD STUCK IN JAR,Cat,Dwelling,Other animal assistance,Lewisham
2009,1,1,260,CAT STUCK UP TREE,Cat,Outdoor,Animal rescue from height,Haringey
2009,1,1,260,BIRD TRAPPED IN DRAINPIPE,Bird,Outdoor Structure,Animal rescue from below ground,Bexley
2009,1,1,260,DEER STUCK IN FENCE,Deer,Outdoor,Other animal assistance,Hillingdon
2009,1,1,260,CAT TRAPPED ON FENCE,Cat,Dwelling,Other animal assistance,Brent
2009,1,1,260,CAT TRAPPED UNDER BUILDING FOUNDATIONS,Cat,Dwelling,Animal rescue from below ground,Haringey
2009,1,1,260,INJURED PIGEON TRAPPED ON LEDGE,Bird,Non Residential,Animal rescue from height,Redbridge
2009,1,1,260,DOG LOCKED IN CAR,Dog,Non Residential,Animal rescue from below ground,Richmond upon Thames
2009,1,1,260,DUCK TRAPPED BY FISHING LINE IN CENTRE OF LAKE,Bird,Outdoor,Animal rescue from water,Bromley
2009,1,1,260,ASSIST RSPCA WITH BIRDS TRAPPED IN FISHING LINE ON POND,Bird,Outdoor,Animal rescue from water,Lambeth
2009,1,1,260,BIRD TRAPPED IN NEETING,Bird,Outdoor,Animal rescue from height,Ealing
2009,1,1,260,DOG TRAPPED UNDER VAN WHEELARCH,Dog,Road Vehicle,Animal rescue from below ground,Barnet
2009,1,2,520,INJURED CAT IN PRECARIOUS POSITION,Cat,Dwelling,Animal rescue from water,Westminster
2009,1,1,260,BIRD TRAPPED IN GUTTERING,Bird,Dwelling,Animal rescue from height,Havering
2009,1,2,520,CROW STUCK IN WIRING,Bird,Outdoor,Animal rescue from height,Croydon
2009,1,1,260,FOX TRAPPED IN FENCE,Fox,Dwelling,Other animal assistance,Hillingdon
2009,1,1,260,CAT TRAPPED ON ROOF,Cat,Dwelling,Animal rescue from height,Southwark
2009,1,1,260,CAT ON ROOF,Cat,Dwelling,Animal rescue from height,Sutton
2009,1,1,260,CAT TRAPPED IN CELLAR,Cat,Dwelling,Animal rescue from below ground,Lambeth
2009,1,2,520,CAT TRAPPED IN CAR BONNET,Cat,Road Vehicle,Animal rescue from below ground,Southwark
2009,1,1,260,DOG WITH HEAD TRAPPED IN RAILINGS,Dog,Outdoor,Other animal assistance,Hounslow
2009,1,1,260,RUNNING CALL TO DOG IN PRECARIOUS POSITION,Dog,Dwelling,Animal rescue from height,Islington
2009,1,1,260,DOG IN WATER,Dog,Outdoor,Animal rescue from water,Merton
2009,1,1,260,DOG STUCK UNDER JETTY IN LAKE,Dog,Outdoor Structure,Animal rescue from water,Barking and Dagenham
2009,1,2,520,DEER TRAPPED IN DITCH,Deer,Road Vehicle,Other animal assistance,Bromley
2009,1,1,260,CAT ON WINDOW LEDGE,Cat,Dwelling,Animal rescue from height,Hackney
2009,1,1,260,CAT TRAPPED BETWEEN KITCHEN CUPBOARD,Cat,Dwelling,Other animal assistance,Barking and Dagenham
2009,1,1,260,CAT TRAPPED BETWEEN FENCE BEHIND,Cat,Outdoor,Animal rescue from height,Hounslow
2009,1,1,260,DOG ON WINDOW LEDGE,Dog,Dwelling,Animal rescue from height,Hackney
2009,1,1,260,BIRD TRAPPED ON WALL BY NETTING,Bird,Dwelling,Animal rescue from height,Haringey
2009,1,1,260,KITTEN TRAPPED IN PEN,Cat,Dwelling,Other animal assistance,Kingston upon Thames
